forecast_start_date,ADE_7_day_km,FDE_7_day_km
2020-06-17,0.0,0.0
2020-06-18,0.0,0.0
2020-06-19,0.6420401753253859,4.4942812272777015
2020-06-20,1.2866634305199516,4.512362786361959
2020-06-21,1.9382171599809188,4.56087610622677
2020-06-22,2.599397762454447,4.628264217314696
2020-06-23,3.270907079239823,4.700565217497634
2020-06-24,3.9522616439394413,4.769481952897331
2020-06-25,4.640838872258699,4.8200405982348
2020-06-26,17.78357578163061,31.119413873344072
2020-06-27,0.19974087340380672,0.26215696104857666
2020-06-28,0.3656498532438585,1.7856930620424314
2020-06-29,0.9135067525169364,3.7001534451360887
2020-06-30,1.7387196368670725,5.652136181366275
2020-07-01,2.7717450944602335,7.375265120980419
2020-07-02,3.8958324793719816,8.507513512492844
2020-07-03,4.995021509053202,8.743100591122003
2020-07-04,3.699438100924973,4.802120641680758
2020-07-05,1.0622651508463845,1.7127069244889033
2020-07-06,2.3726651137770998,6.514509910367275
2020-07-07,4.251745928292351,9.431175191090324
2020-07-08,5.0690260541846675,10.030157278890767
2020-07-09,4.446033211899323,8.135947348415147
2020-07-10,1.8960858101626827,3.3181376191823944
2020-07-11,0.05978582678966308,0.4185007875276415
2020-07-12,0.27301449257456817,1.4926006604943356
2020-07-13,0.6978449902488502,2.9738134837199737
2020-07-14,1.3504740377300162,4.568403332368161
2020-07-15,2.214717913187422,6.049707128201842
2020-07-16,3.2324219413692403,7.123928197272728
2020-07-17,4.309920298620864,7.542488500761362
2020-07-18,3.234541144775988,4.190173553689693
2020-07-19,0.9386455791462321,1.486805945094772
2020-07-20,2.1266404010864286,5.834055408921341
2020-07-21,3.6928190208795324,8.24180633763892
2020-07-22,4.518454446878872,8.94936674158898
2020-07-23,3.918991297022049,7.191937719969719
2020-07-24,1.742171051440869,3.047947228459029
2020-07-25,0.21392900174907262,0.35364945477741266
2020-07-26,0.4000409980563959,1.9700518155368034
2020-07-27,0.9978295463123119,4.0729972950318825
2020-07-28,1.9080856501165997,6.253413605232162
2020-07-29,3.0655143604350505,8.23845657182384
2020-07-30,4.3553905616557085,9.626059803443693
2020-07-31,5.660468164487723,10.103766344099494
2020-08-01,4.3014374859975755,5.8928155872827395
2020-08-02,1.2059034305455008,1.296165216824829
2020-08-03,2.3821009225775307,6.6673803425942735
2020-08-04,4.402399435526596,9.946451514295441
2020-08-05,5.451079117029448,10.920038916099152
2020-08-06,4.876578958953796,9.0316541510344
2020-08-07,2.3474603719021063,4.126262167701336
